ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _supplier,Meta: _original_sku,Meta: _awdp_category,Meta: _compatible_brands
,simple,AWDP-BIF-PI-563,Mortise Lock | Single Point Lock,1,0,visible,Available in the following sizes:,Available in the following sizes:,,,taxable,,1,,,0,0,,,,,1,,,201.87,Door Hardware,"lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/07/BIE-PP-517475-2.jpg,,,,,,,,,10,Details,"Backset: 1 3/8"", 1 3/4"", 2 3/8"", 2 3/4"", Deadbolt Throw: 1/2"", 1""",1,0,All Window Door Parts,AWDP-BIF-PI-563,Door Hardware,
,simple,AWDP-PP-517,Mortise Lock for Adams Rite Doors,1,0,visible,"3-11/16"" (94 mm) center-to-center screw holes. Vertical keyway","3-11/16"" (94 mm) center-to-center screw holes. Vertical keyway",,,taxable,,1,,,0,0,,,,,1,,,159.59,Door Hardware,"lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/07/C29-92009.jpg,,,,,,,,,11,Details,"Angle: 45°, 90°",1,0,All Window Door Parts,AWDP-PP-517,Door Hardware,
,simple,AWDP-PIF-10F,Sliding Glass Door Handle | Mortise Lock,1,0,visible,Available in white.,Available in white.,,,taxable,,1,,,0,0,,,,,1,,,196.41,Door Hardware,"lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/07/CPR-19.jpg,,,,,,,,,12,Details,"Angle: 45°, 90°",1,0,Truth/Entrygard,AWDP-PIF-10F,Door Hardware,"Truth, Entrygard, Pella, Marvin"
,simple,AWDP-BIE-PP-517,Mortise Lock with 45° Keyway – High‑Security Patio Door Mortise Lock,1,0,visible,"Durable, high‑security mortise lock with a 45° keyway , designed for smooth operation and long‑term reliability. Fits a wide range of patio door systems and is built with high‑quality materials to withstand years of use. Ideal for residential, commercial, and industrial applications","Durable, high‑security mortise lock with a 45° keyway , designed for smooth operation and long‑term reliability. Fits a wide range of patio door systems and is built with high‑quality materials to withstand years of use. Ideal for residential, commercial, and industrial applications",,,taxable,,1,,,0,0,,,,,1,,,60.42,Door Hardware,"lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/07/ER-164-1.jpg,,,,,,,,,13,Details,"Angle: 45°, 90°",1,0,Truth/Entrygard,AWDP-BIE-PP-517,Door Hardware,"Truth, Entrygard"
,simple,AWDP-PO-153,Two Point Mortise Lock,1,0,visible,Available in steel and stainless steel.,Available in steel and stainless steel.,,,taxable,,1,,,0,0,,,,,1,,,142.65,Door Hardware,"weatherstrip, lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/07/PT-680.jpg,,,,,,,,,14,Details,"Finish: Steel, Stainless Steel",1,0,Oldach,AWDP-PO-153,Door Hardware,"Pella, Marvin, Peachtree, Oldach, Norco, Simonton, Silverline"
,simple,AWDP-BIF-PI-563,Mortise Lock | Patio Glass Door,1,0,visible,Available in 90° and 45° tailshaft.,Available in 90° and 45° tailshaft.,,,taxable,,1,,,0,0,,,,,1,,,84.75,Door Hardware,"lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/07/PI-410.jpg,,,,,,,,,15,Details,"Angle: 45°, 90°",1,0,All Window Door Parts,AWDP-BIF-PI-563,Door Hardware,
,simple,AWDP-PT-333,Amesbury Truth Mortise Lock | Single Point,1,0,visible,"Available in brass plated (45°), stainless steel (45°) and zinc plated (90°).","Available in brass plated (45°), stainless steel (45°) and zinc plated (90°).",,,taxable,,1,,,0,0,,,,,1,,,52.26,Door Hardware,"lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/07/PT-363.jpg,,,,,,,,,16,Details,"Finish: Brass Plated (45°), Stainless Steel (45°), Zinc Plated (90°)",1,0,Truth/Entrygard,AWDP-PT-333,Door Hardware,"Marvin, Peachtree, Oldach, Norco"
,simple,AWDP-PO-423,Single Point Mortise Lock,1,0,visible,Available in the following sizes:,Available in the following sizes:,,,taxable,,1,,,0,0,,,,,1,,,298.65,Door Hardware,"lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/07/BIE-PP-517-1.jpg,,,,,,,,,17,Details,"Backset Size: 1 3/8"", 1 3/4"", 2 3/8"", 2 3/4"", Deadbolt Throw Size: 1/2"", 1""",1,0,All Window Door Parts,AWDP-PO-423,Door Hardware,
,simple,AWDP-LEE-9169,Two Point Mortise Patio Door Lock,1,0,visible,Available with steel hooks or stainless steel hooks.,Available with steel hooks or stainless steel hooks.,,,taxable,,1,,,0,0,,,,,1,,,95.38,Door Hardware,"lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/07/PT-460.jpg,,,,,,,,,18,,,1,0,All Window Door Parts,AWDP-LEE-9169,Door Hardware,
,simple,AWDP-TO-634,Mortise Lockset,1,0,visible,Available in the following sizes:,Available in the following sizes:,,,taxable,,1,,,0,0,,,,,1,,,213.54,Door Hardware,"weatherstrip, lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/07/PP-517.jpg,,,,,,,,,19,Details,"Face: Round, Square, Angle: 45°, 90°, Backset Size: 1 3/8"", 1 3/4"", 2 3/8"", 2 3/4"", Deadbolt Throw Size: 1/2"", 1""",1,0,Truth/Entrygard,AWDP-TO-634,Door Hardware,"Truth, Pella, Peachtree, Norco, Simonton, Silverline"
,simple,AWDP-PO-153,Mortise Lock Replacements | Round and Square Face,1,0,visible,"Faceplate: 1"" x 3 11/16""","Faceplate: 1"" x 3 11/16""",,,taxable,,1,,,0,0,,,,,1,,,57.45,Door Hardware,"balance, weatherstrip, lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/07/PIF-10F.jpg,,,,,,,,,20,Details,"Face: Round, Square, Angle: 45°, 90°",1,0,Truth/Entrygard,AWDP-PO-153,Door Hardware,"Truth, Pella, Marvin, Peachtree, Norco, Simonton, Silverline"
,simple,AWDP-PF-116,All Brands / Sizes / Styles &#8211; Patio Door Roller &#038; Screen Door Wheel Master [PDF],1,0,visible,"Rollers priced at $19.95 and up. Free Parts ID Search PDF Guide for hard-to-find, obsolete replacement parts. Diagrams, measurements, pictures, schematics, and specifications.","Rollers priced at $19.95 and up. Free Parts ID Search PDF Guide for hard-to-find, obsolete replacement parts. Diagrams, measurements, pictures, schematics, and specifications.",,,taxable,,1,,,0,0,,,,,1,,,0.00,Door Hardware,"screen, roller, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/05/1D2-SDWM-1.jpg,,,,,,,,,21,,,1,0,Oldach,AWDP-PF-116,Door Hardware,"Andersen, Pella, Marvin, Peachtree, Oldach, Norco, Simonton, Silverline"
,simple,AWDP-DPT-07,Guardian Tempered Glass | Sliding Patio Door Replacement Parts and Info,1,0,visible,"If you have an old wood, vinyl or aluminum clad patio door with Guardian or other tempered glass brand in need of handles, locks, mortise lock systems, single or tandem wheel rollers or even screen door problems – Your AWDP GROUP USA CAN USUALLY HELP!","If you have an old wood, vinyl or aluminum clad patio door with Guardian or other tempered glass brand in need of handles, locks, mortise lock systems, single or tandem wheel rollers or even screen door problems – Your AWDP GROUP USA CAN USUALLY HELP!",,,taxable,,1,,,0,0,,,,,1,,,0.00,Door Hardware,"screen, weatherstrip, roller, lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/05/GTG-S1D21.jpg,,,,,,,,,22,,,1,0,Truth/Entrygard,AWDP-DPT-07,Door Hardware,"Truth, Entrygard, Biltbest, Andersen, Pella, Marvin, Peachtree, Oldach, Norco, General, Simonton, Silverline"
,simple,AWDP-OT-173CV,"Jamb Liner and Sash Balance Track Pair Type B | 44"" to 54"" Length",1,0,visible,This jambliner and sash balance track pair is designed to restore smooth vertical window operation by properly guiding and supporting sash balances. It is commonly used when repairing or replacing worn window track systems.,This jambliner and sash balance track pair is designed to restore smooth vertical window operation by properly guiding and supporting sash balances. It is commonly used when repairing or replacing worn window track systems.,,,taxable,,1,,,0,0,,,,,1,,,257.77,Sash & Frame Parts,"balance, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/04/JSBT-4.jpg,,,,,,,,,23,Details,"Jambliner Color: Beige, White, Balance Stamping ID Code: 226-76, 226-78, 226-80, 226-82, 226-84, 304-76, 304-78, 304-80, 304-82, 304-84, 368-76, 368-78, 368-80, 368-82, 368-84, 42-76, 42-78, 42-80, 42-84, 4282, 8176, 8178, 8180, 8182, 8184, 8276, 8278, 8280, 8282, 8284, 8376, 8378, 8380, 8382, 8384, 8476, 8478, 8480, 8482, 8484, 8576, 8578, 8582",1,0,All Window Door Parts,AWDP-OT-173CV,Sash & Frame Parts,General
,simple,AWDP-SC,"Jambliner and Sash Balance Track Pair Type B | 55"" to 65"" Length",1,0,visible,"Available in beige or white. Channel type: Smooth Type ""B"" Avalable in lengths 55"" to 65""","Available in beige or white. Channel type: Smooth Type ""B"" Avalable in lengths 55"" to 65""",,,taxable,,1,,,0,0,,,,,1,,,277.77,Sash & Frame Parts,"balance, weatherstrip, lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/04/JSBT-3.jpg,,,,,,,,,24,Details,"Jambliner Color: Beige, White, Balance Stamping ID Code: 226-76, 226-78, 226-80, 226-82, 226-84, 304-76, 304-78, 304-80, 304-82, 304-84, 368-76, 368-78, 368-80, 368-82, 368-84, 42-76, 42-78, 42-80, 42-84, 4282, 8176, 8178, 8180, 8182, 8184, 8276, 8278, 8280, 8282, 8284, 8376, 8378, 8380, 8382, 8384, 8476, 8478, 8480, 8482, 8484, 8576, 8578, 8582",1,0,Truth/Entrygard,AWDP-SC,Sash & Frame Parts,"Truth, Marvin, Peachtree, Caldwell, Silverline"
,simple,AWDP-SSWP,"Jambliner and Sash Balance Track Pair Type B | 66"" to 72"" Length",1,0,visible,"Available in beige or white. Channel type: Smooth Type ""B"" Avalable in lengths 66""-72""","Available in beige or white. Channel type: Smooth Type ""B"" Avalable in lengths 66""-72""",,,taxable,,1,,,0,0,,,,,1,,,288.88,Sash & Frame Parts,"balance, weatherstrip, lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/04/JSBT-3.jpg,,,,,,,,,25,Details,"Jambliner Color: Beige, White, Balance Stamping ID Code: 226-76, 226-78, 226-80, 226-82, 226-84, 304-76, 304-78, 304-80, 304-82, 304-84, 368-76, 368-78, 368-80, 368-82, 368-84, 42-76, 42-78, 42-80, 42-84, 4282, 8176, 8178, 8180, 8182, 8184, 8276, 8278, 8280, 8282, 8284, 8376, 8378, 8380, 8382, 8384, 8476, 8478, 8480, 8482, 8484, 8576, 8578, 8582",1,0,Truth/Entrygard,AWDP-SSWP,Sash & Frame Parts,"Truth, Marvin, Peachtree, Caldwell, Silverline"
,simple,AWDP-BT-511,"Jambliner and Sash Balance Track Pair Type C | 66"" to 72"" Length",1,0,visible,"Available in beige or white. Channel type: Shaped type ""C"" Available in lengths 66""-72"" Balance color: beige, mill or white ID code number: 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42 Weight code: AA, A, B, C, D, E or F","Available in beige or white. Channel type: Shaped type ""C"" Available in lengths 66""-72"" Balance color: beige, mill or white ID code number: 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42 Weight code: AA, A, B, C, D, E or F",,,taxable,,1,,,0,0,,,,,1,,,297.77,Sash & Frame Parts,"balance, weatherstrip, lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/04/JSBT-3.jpg,,,,,,,,,26,Details,"Jambliner Color: Beige, White, Balance Color: Beige, Mill, White, Length: 66"", 67"", 68"", 69"", 70"", 71"", 72"", ID Code Number: 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, Weight Code: AA, A, B, C, D, E, F",1,0,Truth/Entrygard,AWDP-BT-511,Sash & Frame Parts,"Truth, Marvin, Peachtree, Caldwell, Silverline"
,simple,AWDP-OA-220,"Jambliner and Sash Balance Track Pair Type C | 55"" to 65"" Length",1,0,visible,"Available in beige or white. Channel type: Shaped type ""C"" Available in lengths 55""-65"" Balance color: beige, mill or white ID code number: 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42 Weight code: AA, A, B, C, D, E or F","Available in beige or white. Channel type: Shaped type ""C"" Available in lengths 55""-65"" Balance color: beige, mill or white ID code number: 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42 Weight code: AA, A, B, C, D, E or F",,,taxable,,1,,,0,0,,,,,1,,,287.77,Sash & Frame Parts,"balance, weatherstrip, lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/04/JSBT-1.jpg,,,,,,,,,27,Details,"Jambliner Color: Beige, White, Balance Color: Beige, Mill, White, Length: 55"", 56"", 57"", 58"", 59"", 60"", 61"", 62"", 63"", 65"", 65"", ID Code Number: 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, Weight Code: AA, A, B, C, D, E, F",1,0,Truth/Entrygard,AWDP-OA-220,Sash & Frame Parts,"Truth, Marvin, Peachtree, Caldwell, Silverline"
,simple,AWDP-JLK,"Jambliner and Sash Balance Track Pair Type C | 44"" to 54"" Length",1,0,visible,"Available in beige or white. Channel type: Shaped type ""C"" Available in lengths 44""-54"" Balance color: beige, mill or white ID code number: 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42 Weight code: AA, A, B, C, D, E or F","Available in beige or white. Channel type: Shaped type ""C"" Available in lengths 44""-54"" Balance color: beige, mill or white ID code number: 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42 Weight code: AA, A, B, C, D, E or F",,,taxable,,1,,,0,0,,,,,1,,,267.77,Sash & Frame Parts,"balance, weatherstrip, lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/04/JSBT-1.jpg,,,,,,,,,28,Details,"Jambliner Color: Beige, White, Balance Color: Beige, Mill, White, Length: 44"", 45"", 46"", 47"", 48"", 49"", 50"", 51"", 52"", 53"", 54"", ID Code Number: 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, Weight Code: AA, A, B, C, D, E, F",1,0,Truth/Entrygard,AWDP-JLK,Sash & Frame Parts,"Truth, Marvin, Peachtree, Caldwell, Silverline"
,simple,AWDP-QWS-FFE,"48"" to 52"" Window Balances Color-Coded Terminal/Clutch Weather-Shield Lincoln Eagle Kolbe PPG",1,0,visible,"Sash jamb-liner pairs with balances for double and single hung windows. Color coded style terminal clutch and overall lengths as specified. Ribbed style channel for tilt style windows. Track colors available: beige and white. Terminal clutch colors available: black, blue, brown and white. Available ","Sash jamb-liner pairs with balances for double and single hung windows. Color coded style terminal clutch and overall lengths as specified. Ribbed style channel for tilt style windows. Track colors available: beige and white. Terminal clutch colors available: black, blue, brown and white. Available in lengths of 48""-52"".",,,taxable,,1,,,0,0,,,,,1,,,272.81,Sash & Frame Parts,"balance, lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2022/05/JPK-4.jpg,,,,,,,,,29,Details,"Length: 48"", 49"", 50"", 51"", 52"", Track Color: Beige, White, Terminal Clutch Color: Black, Blue, Brown, White",1,0,All Window Door Parts,AWDP-QWS-FFE,Sash & Frame Parts,
,simple,AWDP-QWS-FFE,"40"" to 47"" Window Balances Color-Coded Terminal/Clutch Weather-Shield Lincoln Eagle Kolbe PPG",1,0,visible,"Sash jamb-liner pairs with balances for double and single hung windows. Color coded style terminal clutch and overall lengths as specified. Ribbed style channel for tilt style windows. Track colors available: beige and white. Terminal clutch colors available: black, blue, brown and white. Available ","Sash jamb-liner pairs with balances for double and single hung windows. Color coded style terminal clutch and overall lengths as specified. Ribbed style channel for tilt style windows. Track colors available: beige and white. Terminal clutch colors available: black, blue, brown and white. Available in lengths of 40""-47"".",,,taxable,,1,,,0,0,,,,,1,,,256.41,Sash & Frame Parts,"balance, lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2022/05/JPK-4.jpg,,,,,,,,,30,Details,"Length: 40"", 41"", 42"", 43"", 44"", 45"", 46"", 47"", Track Color: Beige, White, Terminal Clutch Color: Black, Blue, Brown, White",1,0,All Window Door Parts,AWDP-QWS-FFE,Sash & Frame Parts,
,simple,AWDP-C29-95775,"30"" to 39"" Window Balances Color-Coded Terminal/Clutch Weather-Shield Lincoln Eagle Kolbe PPG",1,0,visible,"Sash jamb-liner pairs with balances for double and single hung windows. Color coded style terminal clutch and overall lengths as specified. Ribbed style channel for tilt style windows. Track colors available: beige and white. Terminal clutch colors available: black, blue, brown and white. Available ","Sash jamb-liner pairs with balances for double and single hung windows. Color coded style terminal clutch and overall lengths as specified. Ribbed style channel for tilt style windows. Track colors available: beige and white. Terminal clutch colors available: black, blue, brown and white. Available in lengths of 30""-39"".",,,taxable,,1,,,0,0,,,,,1,,,236.88,Sash & Frame Parts,"balance, lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2022/05/JPK-4.jpg,,,,,,,,,31,Details,"Length: 30"", 31"", 32"", 33"", 34"", 35"", 36"", 37"", 38"", 39"", Track Color: Beige, White, Terminal Clutch Color: Black, Blue, Brown, White",1,0,All Window Door Parts,AWDP-C29-95775,Sash & Frame Parts,
,simple,AWDP-JLK,"23"" to 29"" Window Balances Color-Coded Terminal/Clutch Weather-Shield Lincoln Eagle Kolbe PPG",1,0,visible,"Sash jamb-liner pairs with balances for double and single hung windows. Color coded style terminal clutch and overall lengths as specified. Ribbed style channel for tilt style windows. Track colors available: beige and white. Terminal clutch colors available: black, blue, brown and white. Available ","Sash jamb-liner pairs with balances for double and single hung windows. Color coded style terminal clutch and overall lengths as specified. Ribbed style channel for tilt style windows. Track colors available: beige and white. Terminal clutch colors available: black, blue, brown and white. Available in lengths of 23""-29"".",,,taxable,,1,,,0,0,,,,,1,,,218.88,Sash & Frame Parts,"balance, lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2022/05/JPK-4.jpg,,,,,,,,,32,Details,"Length: 23"", 24"", 25"", 26"", 27"", 28"", 29"", Track Color: Beige, White, Terminal Clutch Color: Black, Blue, Brown, White",1,0,All Window Door Parts,AWDP-JLK,Sash & Frame Parts,
,simple,AWDP-TWB-2329,"Window Balance Color Coded Terminal/Clutch | 48"" to 52"" Wenco Silverline ThermalGard Traco",1,0,visible,"Sash jamb-liner pairs with balances for double and single hung windows. Color coded style terminal clutch and overall lengths as specified. Ribbed style channel for tilt style windows. Track colors available: beige and white. Terminal clutch colors available: black, blue, brown and white. Available ","Sash jamb-liner pairs with balances for double and single hung windows. Color coded style terminal clutch and overall lengths as specified. Ribbed style channel for tilt style windows. Track colors available: beige and white. Terminal clutch colors available: black, blue, brown and white. Available in lengths of 48""-52"".",,,taxable,,1,,,0,0,,,,,1,,,272.81,Sash & Frame Parts,"balance, lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2022/05/JPK-4.jpg,,,,,,,,,33,Details,"Length: 48"", 49"", 50"", 51"", 52"", Track Color: Beige, White, Terminal Clutch Color: Black, Blue, Brown, White",1,0,All Window Door Parts,AWDP-TWB-2329,Sash & Frame Parts,
,simple,AWDP-JLK,"Window Balance Color Coded Terminal/Clutch | 39"" to 47"" Wenco Silverline ThermalGard Traco",1,0,visible,"Sash jamb-liner pairs with balances for double and single hung windows. Color coded style terminal clutch and overall lengths as specified. Ribbed style channel for tilt style windows. Track colors available: beige and white. Terminal clutch colors available: black, blue, brown and white. Available ","Sash jamb-liner pairs with balances for double and single hung windows. Color coded style terminal clutch and overall lengths as specified. Ribbed style channel for tilt style windows. Track colors available: beige and white. Terminal clutch colors available: black, blue, brown and white. Available in lengths of 39""-47"".",,,taxable,,1,,,0,0,,,,,1,,,254.39,Sash & Frame Parts,"balance, lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2022/05/JPK-4.jpg,,,,,,,,,34,Details,"Length: 39"", 40"", 41"", 42"", 43"", 44"", 45"", 46"", 47"", Track Color: Beige, White, Terminal Clutch Color: Black, Blue, Brown, White",1,0,All Window Door Parts,AWDP-JLK,Sash & Frame Parts,
,simple,AWDP-C29-95775,"Window Balance Color Coded Terminal/Clutch | 30"" to 38"" Wenco Silverline ThermalGard Traco",1,0,visible,"Sash jamb-liner pairs with balances for double and single hung windows. Color coded style terminal clutch and overall lengths as specified. Ribbed style channel for tilt style windows. Track colors available: beige and white. Terminal clutch colors available: black, blue, brown and white. Available ","Sash jamb-liner pairs with balances for double and single hung windows. Color coded style terminal clutch and overall lengths as specified. Ribbed style channel for tilt style windows. Track colors available: beige and white. Terminal clutch colors available: black, blue, brown and white. Available in lengths of 30""-38"".",,,taxable,,1,,,0,0,,,,,1,,,236.88,Sash & Frame Parts,"balance, lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2022/05/JPK-4.jpg,,,,,,,,,35,Details,"Length: 30"", 31"", 32"", 33"", 34"", 35"", 36"", 37"", 38"", Track Color: Beige, White, Terminal Clutch Color: Black, Blue, Brown, White",1,0,All Window Door Parts,AWDP-C29-95775,Sash & Frame Parts,
